Nom Couleur;Prix
B0 8g + Nabs 0,2CB 5g (M11 7g);1
B0 8g + Nabs 0,75 g CB (M12 7g);2
B1 Char 12g +R130 3g CB;3
B1 Lav 12g + Nabs 0,75 g CB;4
BI 12g + N318 0,CB 5g;5
BI 5g + N318 1g CB;6
BI 5g + N318 2g CB;7
BI 5g + NDR 2g CB;8
BI 6g + NABS 1g CB;9
BI 8g + NABS 0,25 g CB (M15 14g);10
BK 5g + N318 1g CB;11
Blanc Tiona 4g + R130 1g + B1 Lav 1g;12
BLANC TIONA CB 5g;13
Blanc titane poudre CB 5g;14
Bleu Berin CB 5g;15
BLEU Bering CB 9g;16
BLEU CANARD 5 g CB;17
Bleu Char 5 g + NDR 2g CB;18
BLEU CHARETTE CB 5g;19
BLEU INDIEN CB 5g;20
BLEU KOSSOGHOL CB 5g;21
BLEU Kossoghol CB 9g;22
Bleu Lav 12g + N318 1 g CB;23
Bleu Lav 5 g + NABS 0,5 G CB;24
Bleu Lav 5g + N318 2 g CB;25
BLEU LAVANDE CB 5g;26
BLEU Monte Carlo CB 9g;27
BLEU MONTE-CARLO CB 5g;28
BLEU OUTREMER CB 5g;29
BLEU OUTREMER CB 9g;30
BMC 5 g + NDR 2g CB;31
BO 3g+R130 1g+ NDR 1g CB;32
BO 9 g+ R130 5g+NDR 2g CB;33
Bois de Rose CGC  8g ;34
Bois de Rose CB 12g;35
BOIS DE ROSE CB 5g;36
Brun BS CB 5g;37
GRIS ANTHRACITE CB 12g;38
GRIS ANTHRACITE CB 5g;39
GRIS ARDOISE CB 5g;40
Gris Etain CGC  8g ;41
GRIS ETAIN CB 12g;42
GRIS ETAIN CB 5g;43
Jau 920 6g + NDR 1g;44
Jau Cit 12g + NDR 1,CB 5g (M9 16g);45
Jau Cit 15g + Nabs 0,5 g (M8,16 g);46
Jaune 420 poudre CB 5g;47
Jaune 920 6g + N318 1g (M10 14g) CB;48
Jaune 920 CGC  8g ;49
Jaune 920 CB 5g;50
Jaune Citron CGC 12g ;51
Jaune citron CB 12g;52
Jaune citron CB 5g;53
Jaune Indien CB 12g;54
JAUNE INDIEN CB 12g;55
JC 7,5g+Nabs 0,25 g CG;56
M3 (V Col 16g + BK 6g) 3g CGC;57
Marron Glaise CGC  8g ;58
Marron Glaise CB 12g;59
Marron Glaise CB 5g;60
Noir 318 Poudre CB 5g;61
Noir absolu BS CB 5g;62
Noir de Rome CB 5g;63
Ocre Havane CGC  8g ;64
Ocre Havane CB 12g;65
OCRE HAVANE CB 5g;66
Ocre Icles -SOF CB 5g;67
Ocre Icles of CGC  8g ;68
Ocre Jaune clair CB 5g;69
Ocre Jaune foncé CGC  8g ;70
OMBRE DE CHYP Hg CB 12g;71
OMBRE DE CHYP HG CB 5g;72
Ombre de Chypre HG CGC  8g ;73
Ombre naturelle CGC  8g ;74
Ombre naturelle CB 12g;75
OMBRE NATURELLE CB 5g;76
Or SAPB Poudre CB 12g;77
Or SAPB poudre CB 5g;78
Orange 960 CB 12g;79
Orange 960 CB 5g;80
PATINE TERRE CB 5g;81
Rouge 130 CB 12g;82
Rouge 130 CB 5g;83
Rouge Ercolano CB 12g;84
Rouge Ercolano CB 5g;85
Rouge Indien CB 12g;86
Rouge Indien CB 5g;87
Rouge Vermillon CGC  8g ;88
Rouge Vermillon CB 12g;89
Rouge Vermillon CB 5g;90
Sienne Calcinee CB 5g;91
TER D'OMB VERDAT CB 5g;92
Ter Ja D'It 15g + BI 6g CB (M7 14 g);93
TER VER DE BRENT CB 5g;94
TER VER DE NICOS CB 5g;95
TER VERDE NICOS CB 12g;96
Terre d'ombre verdâtre CGC  8g ;97
Terre Jaune d'Ital CGC  8g ;98
TERRE VERTE ANC CB 5g;99
Terre verte de Nicosie CGC  8g ;100
Vert a la chaux CGC 12g ;101
VERT A LA CHAUX CB 5g;102
Vert Armerie CB 9g;103
Vert Armerie CB 5g;104
Vert CN 12g + N318 2g CB (M18 12 g);105
Vert Col 16g + Nabs 0,25 g CB;106
Vert Col 16g + Nabs 0,5g. CB (M1 14g);107
Vert Colibri 16g + BK 6g CB. (M3 16g CB);108
Vert Colibri 5g + 2g NDR CB;109
VERT COLIBRI CB 12g;110
VERT COLIBRI CB 5g;111
Vert D'Irlande  CB 9g;112
VERT MONTE-CARLO CB 12g;113
VERT MONTE-CARLO CB 5g;114
VERT PISTACHE CB 5g;115
VERT PISTACHE CB 12g;116
VMC 5g + NDR 2 g CB;117
VMC 8g + NABS 0,7CB 5g (M17 7 g);118
VMC 8g + NABS 0,7CB 5g (M17 7 g);119